term_id,name,slug,description,display_type,parent,thumbnail
879,"4K UHD",4k-uhd,,default,849,https://electromanos.ma/wp-content/uploads/2025/06/beaute-300x300-2.jpg
99,Accessories,accessories,,default,0,https://electromanos.ma/wp-content/uploads/2023/01/accessories-cases.jpg
949,"Appareils conviviaux",appareils-conviviaux,,default,837,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-37.jpg
846,Aspirateurs,petit-electromenager-entretien-aspirateur,"Aspirateurs traîneaux et balais",default,845,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-2.jpg
840,Batteurs,petit-electromenager-preparation-batteurs,"Batteurs électriques",default,837,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-20.jpg
843,Bouilloires,petit-electromenager-petit-dejeuner-bouilloire,"Bouilloires électriques",default,841,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-17.jpg
857,"Brosses soufflantes",soin-beaute-cheveux-brosse,"Brosses soufflantes et volumisantes",default,854,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-32.jpg
842,Cafetières,petit-electromenager-petit-dejeuner-cafetiere,"Cafetières filtres et expresso",default,841,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-18.jpg
1000,Chauffage,chauffage,,default,824,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-45.jpg
875,Chauffe-eau,chauffe-eau,,default,824,https://electromanos.ma/wp-content/uploads/2025/06/New-Project.png
877,Chauffe-eau,chauffe-eau-chauffe-eau-clim-chauffage,,default,875,https://electromanos.ma/wp-content/uploads/2025/06/New-Project.png
824,"Climatisation & Chauffage",clim-chauffage,"Catégorie principale pour les appareils de climatisation et chauffage",default,0,https://electromanos.ma/wp-content/uploads/2025/06/climatiseur-mono-split-lg-smart-inverter-9000-btu-d10aw-lg-binaa-128202.webp
865,Climatiseurs,clim-chauffage-climatiseur,"Appareils de climatisation",default,824,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-41.jpg
866,"Climatiseurs muraux",clim-chauffage-climatiseur-mural,"Climatiseurs splits muraux",default,865,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-41.jpg
831,Congélateurs,electromenager-froid-congelateurs,"Congélateurs armoires et coffres",default,829,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-13.jpg
825,Cuisine,electromenager-cuisine,"Appareils de cuisson et équipements de cuisine",default,820,https://electromanos.ma/wp-content/uploads/2025/06/cuisine-electro-ramos.jpg
945,Cuisinières,cuisinieres,,default,825,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-3.jpg
942,Déshumidificateurs,deshumidificateurs,,default,941,
943,Déshumidificateurs,deshumidificateurs-traitement-de-lair,,default,941,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-43.jpg
820,Électroménager,electromenager,"Catégorie principale pour les gros appareils électroménagers",default,0,https://electromanos.ma/wp-content/uploads/2025/06/New-Project.jpg
845,Entretien,petit-electromenager-entretien,"Appareils d'entretien de la maison",default,0,
859,"Épilateurs électriques",soin-beaute-epilation-epilateur,"Épilateurs électriques",default,858,https://electromanos.ma/wp-content/uploads/2025/06/New-Project-29.jpg
860,"Épilateurs lumière pulsée",soin-beaute-epilation-lumiere,"Épilateurs à lumière pulsée",default,858,https://electromanos.ma/wp-content/uploads/2025/06/epilateur-lumiere-pulsee-500000-flashes-ipl-laser.webp
