Type,SKU,Name,Published,Featured,Catalog visibility,Short description,Description,Price,Regular price,Sale price,Images,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global,Attribute 25 name,Attribute 25 value(s),Attribute 25 visible,Attribute 25 global,Attribute 26 name,Attribute 26 value(s),Attribute 26 visible,Attribute 26 global,Attribute 27 name,Attribute 27 value(s),Attribute 27 visible,Attribute 27 global,Attribute 28 name,Attribute 28 value(s),Attribute 28 visible,Attribute 28 global,Attribute 29 name,Attribute 29 value(s),Attribute 29 visible,Attribute 29 global,Attribute 30 name,Attribute 30 value(s),Attribute 30 visible,Attribute 30 global,Attribute 31 name,Attribute 31 value(s),Attribute 31 visible,Attribute 31 global,Attribute 32 name,Attribute 32 value(s),Attribute 32 visible,Attribute 32 global,Attribute 33 name,Attribute 33 value(s),Attribute 33 visible,Attribute 33 global,Attribute 34 name,Attribute 34 value(s),Attribute 34 visible,Attribute 34 global,Attribute 35 name,Attribute 35 value(s),Attribute 35 visible,Attribute 35 global
simple,43DU7000,TV SAMSUNG 43P  LED  UHD (4k) 43DU7000,1,0,visible,,,,3499,,"https://electroclub.ma/12344-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12344-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12345-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12346-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12347-large_default/smart-tv-led-43p-uhd-samsung.jpg",4K UHD,,Marque,Samsung,1,1,Reference fournisseur,43DU7000,1,1,Garantie,1 an,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,43 Pouces,1,1,Type du rectroeclairage,Led,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840x2160,1,1,Fluidite constructeur,Motion Plus,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,3,1,1,Entree usb,1,1,1,Entree rca,Oui,1,1,Interface ci,Oui,1,1,Bluetooth,Oui,1,1,Système d&#039;exploitation,Tizen™,1,1,Connectivite,Oui,1,1,Technologie,Crystal 4K,1,1,Fluidité de l&#039;image ( Hz ),50,1,1,Turner,OUI,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,Fonction enregistreur PVR,OUI,1,1,Vidéo,HDR/HDR+/HLG/Méga contraste/PurColor/Gradation UHD,1,1,Audio,Dolby Digital Plus,1,1,Dimension avec pied ( cm ),96.4 x 62.8x 19.2,1,1,Dimension sans pied ( cm ),96.4 x 55.9 x 6,1,1,Indice de qualité ( PQI ),2000,1,1,Processeur,Crystal prcessor 4K,1,1,Poids (KG),8.3,1,1,,,,,,,,,,,,,,,,
simple,70DU7000,TV SAMSUNG 70P LED UHD (4k) 70DU7000,1,0,visible,,,,8499,,"https://electroclub.ma/12386-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12386-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12385-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12387-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12388-large_default/smart-tv-led-70p-uhd-samsung.jpg",4K UHD,,Marque,Samsung,1,1,Reference fournisseur,70DU7000,1,1,Garantie,1 an,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,70 Pouces,1,1,Type du rectroeclairage,Led,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840x2160,1,1,Fluidite constructeur,Motion Plus,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,3,1,1,Entree usb,1,1,1,Entree rca,Oui,1,1,Interface ci,Oui,1,1,Bluetooth,Oui,1,1,Système d&#039;exploitation,Tizen™,1,1,Connectivite,Oui,1,1,Technologie,Crystal 4K,1,1,Fluidité de l&#039;image ( Hz ),50,1,1,Turner,OUI,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,Fonction enregistreur PVR,OUI,1,1,Vidéo,HDR/HDR 10+/HLG/Mega Contrast/PurColor,1,1,Audio,Dolby Digital Plus,1,1,Dimension avec pied ( cm ),157 x 96 x 34 cm,1,1,Dimension sans pied ( cm ),157 x 87.5 x 6 cm,1,1,Indice de qualité ( PQI ),2000,1,1,Processeur,Crystal prcessor 4K,1,1,Poids (KG),24.7,1,1,,,,,,,,,,,,,,,,
simple,75DU7000,TV SAMSUNG 75P LED UHD (4k) 75DU7000,1,0,visible,,,,9599,,"https://electroclub.ma/12394-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12394-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12393-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12395-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12396-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg",4K UHD,,Marque,Samsung,1,1,Reference fournisseur,75CU7000,1,1,Garantie,1 an,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,75 Pouces,1,1,Type du rectroeclairage,Led,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840x2160,1,1,Fluidite constructeur,Motion Plus,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,3,1,1,Entree usb,1,1,1,Entree rca,Oui,1,1,Interface ci,Oui,1,1,Bluetooth,Oui,1,1,Système d&#039;exploitation,Tizen™,1,1,Connectivite,Oui,1,1,Technologie,Crystal 4K,1,1,Fluidité de l&#039;image ( Hz ),50,1,1,Turner,OUI,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,Fonction enregistreur PVR,OUI,1,1,Vidéo,HDR/HDR 10+/HLG/Mega Contrast/PurColor,1,1,Audio,Dolby Digital Plus,1,1,Dimension avec pied ( cm ),167.3 x 104.8 x 34.1,1,1,Dimension sans pied ( cm ),167.3 x 95.8 x 56,1,1,Indice de qualité ( PQI ),2000,1,1,Processeur,Crystal prcessor 4K,1,1,Poids (KG),30.8,1,1,,,,,,,,,,,,,,,,
simple,75Q60D,TV SAMSUNG 75P  QLED UHD (4k) 75Q60D,1,0,visible,,,,13999,,"https://electroclub.ma/12427-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12427-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12428-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12429-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12430-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg",4K UHD,,Marque,Samsung,1,1,Reference fournisseur,75Q60D,1,1,Garantie,1 an,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,75 Pouces,1,1,Type du rectroeclairage,Qled,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840x2160,1,1,Fluidite constructeur,Motion Plus,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,3,1,1,Entree usb,2,1,1,Entree rca,Oui,1,1,Interface ci,Oui,1,1,Bluetooth,Oui,1,1,Système d&#039;exploitation,Tizen™,1,1,Connectivite,Oui,1,1,Technologie,Crystal 4K,1,1,Fluidité de l&#039;image ( Hz ),50,1,1,Turner,OUI,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,Fonction enregistreur PVR,OUI,1,1,Vidéo,HDR/HDR 10+/HLG/Mega Contrast/PurColor,1,1,Audio,Dolby Digital Plus,1,1,Dimension avec pied ( cm ),167 x 102 x 31.7,1,1,Dimension sans pied ( cm ),167 x 95.8 x 2.8,1,1,Indice de qualité ( PQI ),2000,1,1,Processeur,Crystal prcessor 4K,1,1,Poids (KG),20.9,1,1,,,,,,,,,,,,,,,,
simple,55DU8000,TV SAMSUNG 55P LED UHD  (4k) 55DU8000,1,0,visible,,,,5799,,"https://electroclub.ma/13371-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/13371-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10515-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10517-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10518-large_default/smart-tv-led-55p-uhd-samsung.jpg",Not found,,Marque,Samsung,1,1,Reference fournisseur,55DU8000,1,1,Garantie,1 an,1,1,Type d&#039;ecran,Flat,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,55 Pouces,1,1,Type du rectroeclairage,Led,1,1,Norme hd,Uhd (4k),1,1,Resolution de l&#039;affichage,3840×2160,1,1,Fluidite de l&#039;image,50,1,1,Fluidite constructeur,NON,1,1,Tuner,DVB-T2/C/S2,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,3,1,1,Entree usb,2,1,1,Entree prise peritel,Non,1,1,Entree rca,NON,1,1,Entree vga,Non,1,1,Interface ci,Oui,1,1,Entree optique,Oui,1,1,Wifi integre,Oui,1,1,Bluetooth,Oui,1,1,Fonction enregistreur (pvr),Oui,1,1,Coloris,Noir,1,1,Dimension avec pied,1232.1 x 748.8 x 226.6 mm,1,1,Dimension sans pied,1232.1 x 708.8 x 25.7 mm,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,65C46LA,TV LG  65P  OLED  UHD (4k)  65C46LA,1,0,visible,,,,19999,,"https://electroclub.ma/13819-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13819-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13823-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13818-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13820-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,Lg,1,1,Reference fournisseur,65C46LA LG,1,1,Garantie,1 an,1,1,Type d&#039;ecran,Flat,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,65 Pouces,1,1,Type du rectroeclairage,OLED,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840×2160,1,1,Fluidite constructeur,NON,1,1,Tuner,DVB-T2/C/S2,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,4,1,1,Entree usb,3,1,1,Entree prise peritel,Non,1,1,Entree rca,NON,1,1,Entree vga,Non,1,1,Interface ci,Oui,1,1,Bluetooth,Oui,1,1,Fonction enregistreur (pvr),Oui,1,1,Coloris,Noir,1,1,Dimension avec pied,"1441x826x45,1",1,1,Dimension sans pied,1441x880x230,1,1,Connectivite,Oui,1,1,Fluidité de l&#039;image ( Hz ),120,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,Poids (KG),18,1,1,Contraste élevé,OUI,1,1,Inverser les couleurs,OUI,1,1,Réglage acoustique de l&#039;IA,OUI,1,1,Compatible G-Sync (Nvidia),OUI,1,1,Image IA,Image AI Pro,1,1,Compatible FreeSync (AMD)	Oui,OUI,1,1
simple,65QNED80T6B,TV LG 65P QNED UHD (4k) 65QNED80T6B,1,0,visible,,,,9999,,"https://electroclub.ma/12470-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12470-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12471-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12472-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12473-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,Lg,1,1,Reference fournisseur,65QNED80T6B,1,1,Garantie,1 an,1,1,Type d&#039;ecran,Flat,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,65 Pouces,1,1,Type du rectroeclairage,QNED,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840×2160,1,1,Fluidite constructeur,Oui,1,1,Tuner,DVB-T2/C/S2,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,4,1,1,Entree usb,2,1,1,Entree prise peritel,Non,1,1,Entree rca,Oui,1,1,Entree vga,Non,1,1,Interface ci,Oui,1,1,Bluetooth,Oui,1,1,Fonction enregistreur (pvr),Oui,1,1,Coloris,Noir,1,1,Dimension avec pied,1449 X 896 X 235 MM,1,1,Dimension sans pied,832 X 1449 X 64.9 MM (HXLXP*),1,1,Connectivite,Oui,1,1,Fluidité de l&#039;image ( Hz ),60,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,HDR,HDR10 / HLG,1,1,,,,,,,,,,,,,,,,,,,,,,,,
simple,55QNED80T6B,TV LG 55P QNED UHD (4K) 55QNED80T6B,1,0,visible,,,,8499,,"https://electroclub.ma/12402-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12402-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12401-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12403-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/12404-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,Lg,1,1,Reference fournisseur,55QNED80T6B,1,1,Garantie,1 an,1,1,Type d&#039;ecran,Flat,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,55 Pouces,1,1,Type du rectroeclairage,QNED,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840×2160,1,1,Fluidite constructeur,Oui,1,1,Tuner,DVB-T2/C/S2,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,4,1,1,Entree usb,1,1,1,Entree prise peritel,Non,1,1,Entree rca,Oui,1,1,Entree vga,Non,1,1,Interface ci,Oui,1,1,Bluetooth,Oui,1,1,Fonction enregistreur (pvr),Oui,1,1,Coloris,Noir,1,1,Dimension avec pied,1232.1 x 748.8 x 226.6 mm,1,1,Dimension sans pied,1230.5 x 707.2 x 59.9 mm,1,1,Connectivite,Oui,1,1,Fluidité de l&#039;image ( Hz ),120,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,55NANO80T6A,TV LG 55P LED UHD (4k) 55NANO80T6A,1,0,visible,,,,6399,,"https://electroclub.ma/13814-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13814-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13813-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13817-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/13815-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",4K UHD,,Marque,Lg,1,1,Reference fournisseur,55NANO80T6A,1,1,Garantie,1 an,1,1,Type d&#039;ecran,Flat,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,55 Pouces,1,1,Type du rectroeclairage,Led,1,1,Norme hd,Ultra HD / 4K,1,1,Resolution de l&#039;affichage,3840×2160,1,1,Fluidite constructeur,NON,1,1,Tuner,DVB-T2/C/S2,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,4,1,1,Entree usb,2,1,1,Entree prise peritel,Non,1,1,Entree rca,NON,1,1,Entree vga,Non,1,1,Interface ci,Non,1,1,Bluetooth,Oui,1,1,Fonction enregistreur (pvr),Oui,1,1,Coloris,Gris,1,1,Dimension avec pied,791 X 1244 X 260 MM (HXLXP),1,1,Dimension sans pied,726 X 1244 X 87.1 MM (HXLXP),1,1,Technologie éclairage,Nano cell,1,1,Connectivite,Oui,1,1,Fluidité de l&#039;image ( Hz ),50,1,1,Entrée optique RJ45,OUI,1,1,Wifi integrée,OUI,1,1,,,,,,,,,,,,,,,,,,,,,,,,
simple,50DU8000,TV SAMSUNG 50P LED UHD  (4k) 50DU8000,1,0,visible,,,,4699,,"https://electroclub.ma/13370-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/13370-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10510-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10512-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10513-large_default/smart-tv-led-55p-uhd-samsung.jpg",Not found,,Marque,Samsung,1,1,Reference fournisseur,50DU8000,1,1,Garantie,1 an,1,1,Type d&#039;ecran,Flat,1,1,Smart tv,Oui,1,1,Taille d&#039;écran,50 Pouces,1,1,Type du rectroeclairage,Led,1,1,Norme hd,Uhd (4k),1,1,Resolution de l&#039;affichage,3840×2160,1,1,Fluidite de l&#039;image,50,1,1,Fluidite constructeur,NON,1,1,Tuner,DVB-T2/C/S2,1,1,Direct wi-fi,Oui,1,1,Puissance sonore,20,1,1,Entree hdmi,3,1,1,Entree usb,2,1,1,Entree prise peritel,Non,1,1,Entree rca,NON,1,1,Entree vga,Non,1,1,Interface ci,Oui,1,1,Entree optique,Oui,1,1,Wifi integre,Oui,1,1,Bluetooth,Oui,1,1,Fonction enregistreur (pvr),Oui,1,1,Coloris,Noir,1,1,Dimension avec pied,111.9 X 71 X 19.9,1,1,Dimension sans pied,644.1 X 1118.3 X 25.7 MM (HXLXP),1,1,Poids (KG),16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
