Type,SKU,Name,Published,Featured,Catalog visibility,Short description,Description,Price,Regular price,Sale price,Images,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global
simple,AS530,BROSSE SOUFFLANTE AS530,1,0,visible,,,,449,,https://electroclub.ma/8546-large_default/braun-150s-1.jpg,Santé - Beauté,,Fabricant,Braun,1,1,Référence,AS 530,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Hauteur (cm),11.2,1,1,Largeur (cm),5.2,1.0,1.0,Profondeur (cm),32,1.0,1.0,Poids en grammes,321,1.0,1.0,Puissance,1000 W,1.0,1.0,Options,OPTION VAPEUR,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,HD585,SECHE CHEVEUX HD585,1,0,visible,,,,649,,"https://electroclub.ma/8559-large_default/braun-hd585.jpg,https://electroclub.ma/5793-large_default/braun-hd585.jpg,https://electroclub.ma/5794-large_default/braun-hd585.jpg",Not found,,Fabricant,Braun,1,1,Référence,Hd585,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,1371117,1,1,Puissance,2500,1.0,1.0,,,1.0,1.0,Air frais,Non,1.0,1.0,Air froid,Oui,1.0,1.0,Avec diffuseur,Non,1.0,1.0,Set de coiffure,Non,1.0,1.0,Seche cheuveux+ brosse,Non,1.0,1.0,Seche cheuveux + lisseur,Non,1.0,1.0,Seche cheveux+ soin,Non,1.0,1.0,,,,,,,,,,,,
simple,FS1000,EPILATEUR FS1000,1,0,visible,,,,299,,"https://electroclub.ma/5746-large_default/braun-fs1000.jpg,https://electroclub.ma/5747-large_default/braun-fs1000.jpg,https://electroclub.ma/5748-large_default/braun-fs1000.jpg,https://electroclub.ma/5749-large_default/braun-fs1000.jpg,https://electroclub.ma/5750-large_default/braun-fs1000.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Fs1000,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2828510,1,1,,,1.0,1.0,Autonomie,30,1.0,1.0,Alimentation,Rechargeable,1.0,1.0,Utilisable sous l&#039;eau,Non,1.0,1.0,Nombre de pinces,1,1.0,1.0,Système anti-douleur,Non,1.0,1.0,Fonction rasoir,Non,1.0,1.0,Fonction tondeuse bikini,Non,1.0,1.0,Fonction lumiere,Oui,1.0,1.0,,,,,,,,,,,,
simple,HD130,SECHE CHEVEUX HD130,1,0,visible,,,,299,,"https://electroclub.ma/8564-large_default/braun-hd585.jpg,https://electroclub.ma/8565-large_default/braun-hd585.jpg",Not found,,Fabricant,Braun,1,1,Référence,HD130,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,1371117,1,1,Hauteur (cm),16,1.0,1.0,Profondeur (cm),7.57,1.0,1.0,Puissance,1200 W,1.0,1.0,,,1.0,1.0,Air froid,Oui,1.0,1.0,Avec diffuseur,Non,1.0,1.0,Set de coiffure,Non,1.0,1.0,Seche cheveux+ soin,Non,1.0,1.0,,,,,,,,,,,,,,,,
simple,BS1000,MINI TONDEUSE BS1000,1,0,visible,,,,299,,"https://electroclub.ma/5751-large_default/braun-bs1000.jpg,https://electroclub.ma/5752-large_default/braun-bs1000.jpg,https://electroclub.ma/5753-large_default/braun-bs1000.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Bs1000,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2828508,1,1,,,1.0,1.0,Autonomie,40,1.0,1.0,Alimentation,Pile,1.0,1.0,Utilisable sous l&#039;eau,Oui,1.0,1.0,Nombre de pinces,4,1.0,1.0,Système anti-douleur,Non,1.0,1.0,Fonction rasoir,Oui,1.0,1.0,Fonction tondeuse bikini,Oui,1.0,1.0,Fonction lumiere,Non,1.0,1.0,,,,,,,,,,,,
simple,SE3420,EPILATEUR SE3420,1,0,visible,,,,749,,"https://electroclub.ma/8554-large_default/braun-se3420.jpg,https://electroclub.ma/5755-large_default/braun-se3420.jpg,https://electroclub.ma/5756-large_default/braun-se3420.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Se3420,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2023675,1,1,,,1.0,1.0,Alimentation,Secteur,1.0,1.0,Utilisable sous l&#039;eau,Non,1.0,1.0,Nombre de pinces,20,1.0,1.0,Système anti-douleur,Non,1.0,1.0,Fonction rasoir,Non,1.0,1.0,Fonction tondeuse bikini,Oui,1.0,1.0,Fonction lumiere,Oui,1.0,1.0,,,,,,,,,,,,,,,,
simple,HS05,SECHE CHEVEUX  AIRWRAP HS05,1,0,visible,,,,7499,,https://electroclub.ma/11613-large_default/seche-cheveux-dyson-305967-01-.jpg,Not found,,Fabricant,Dyson,1,1,Référence,HS05,1,1,Garantie,2 ans,1,1,Hauteur (cm),27.4,1,1,Largeur (cm),42,1,1,Profondeur (cm),7.3,1.0,1.0,Poids en grammes,581 G,1.0,1.0,Puissance,1300,1.0,1.0,Air frais,Oui,1.0,1.0,Air froid,Oui,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,SE5500,EPILATEUR SE5500,1,0,visible,,,,779,,"https://electroclub.ma/5757-large_default/braun-se5500.jpg,https://electroclub.ma/5758-large_default/braun-se5500.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Se5500,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2094845,1,1,,,1.0,1.0,Autonomie,30,1.0,1.0,Alimentation,Rechargeable,1.0,1.0,Utilisable sous l&#039;eau,Oui,1.0,1.0,Système anti-douleur,Non,1.0,1.0,Fonction rasoir,Non,1.0,1.0,Fonction tondeuse bikini,Non,1.0,1.0,Fonction lumiere,Non,1.0,1.0,,,,,,,,,,,,,,,,
simple,LISSEUR CORAL HS03 SANS FIL,Lisseur  HS03 SANS FIL,1,0,visible,,,,5399,,"https://electroclub.ma/6368-large_default/lisseur-dyson-lisseur-coral-hs03-sans-fil-.jpg,https://electroclub.ma/6369-large_default/lisseur-dyson-lisseur-coral-hs03-sans-fil-.jpg,https://electroclub.ma/6370-large_default/lisseur-dyson-lisseur-coral-hs03-sans-fil-.jpg,https://electroclub.ma/6371-large_default/lisseur-dyson-lisseur-coral-hs03-sans-fil-.jpg,https://electroclub.ma/6372-large_default/lisseur-dyson-lisseur-coral-hs03-sans-fil-.jpg",Not found,,Fabricant,Dyson,1,1,Référence,LISSEUR CORAL HS03 SANS FIL,1,1,Garantie,2 ans,1,1,Hauteur (cm),4.5,1,1,Largeur (cm),30.8,1,1,Profondeur (cm),"4,1",1.0,1.0,Puissance,210,1.0,1.0,Arret automatique,Oui,1.0,1.0,Ecran,Oui,1.0,1.0,Revetement,Céramique,1.0,1.0,Temperature reglable,Oui,1.0,1.0,Indicateur de temperature,Oui,1.0,1.0,Cordon rotatif,Non,1.0,1.0,,,,,,,,,,,,,,,,
simple,SES5620,EPILATEUR SES5620,1,0,visible,,,,1099,,"https://electroclub.ma/5759-large_default/braun-ses5620.jpg,https://electroclub.ma/5760-large_default/braun-ses5620.jpg",Beauté,,Fabricant,Braun,1,1,Référence,Ses5620,1,1,Garantie,2 ans,1,1,Fabricant,Braun,1,1,Code,2550362,1,1,Hauteur (cm),19.7,1.0,1.0,Largeur (cm),6.5,1.0,1.0,Profondeur (cm),18,1.0,1.0,Poids en kg,0.39,1.0,1.0,Autonomie,30,1.0,1.0,Alimentation,Rechargeable,1.0,1.0,Utilisable sous l&#039;eau,Oui,1.0,1.0,Nombre de pinces,28,1.0,1.0,Système anti-douleur,Oui,1.0,1.0,Fonction rasoir,Oui,1.0,1.0,Fonction tondeuse bikini,Oui,1.0,1.0,Fonction lumiere,Non,1.0,1.0
