Type,SKU,Name,Published,Featured,Catalog visibility,Price,Regular price,Sale price,Images,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s),Attribute 10 name,Attribute 10 value(s),Attribute 11 name,Attribute 11 value(s),Attribute 12 name,Attribute 12 value(s),Attribute 13 name,Attribute 13 value(s),Attribute 14 name,Attribute 14 value(s),Attribute 15 name,Attribute 15 value(s),Attribute 16 name,Attribute 16 value(s),Attribute 17 name,Attribute 17 value(s),Attribute 18 name,Attribute 18 value(s),Attribute 19 name,Attribute 19 value(s),Attribute 20 name,Attribute 20 value(s),Attribute 21 name,Attribute 21 value(s),Attribute 22 name,Attribute 22 value(s),Attribute 23 name,Attribute 23 value(s),Attribute 24 name,Attribute 24 value(s),Attribute 25 name,Attribute 25 value(s),Attribute 26 name,Attribute 26 value(s),Attribute 27 name,Attribute 27 value(s),Attribute 28 name,Attribute 28 value(s),Attribute 29 name,Attribute 29 value(s),Attribute 30 name,Attribute 30 value(s),Attribute 31 name,Attribute 31 value(s),Attribute 32 name,Attribute 32 value(s),Attribute 33 name,Attribute 33 value(s),Attribute 34 name,Attribute 34 value(s),Attribute 35 name,Attribute 35 value(s),Attribute 36 name,Attribute 36 value(s)
simple,43DU7000,TV SAMSUNG 43P  LED  UHD (4k) 43DU7000,1,0,visible,,3499,,"https://electroclub.ma/12344-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12345-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12346-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12347-large_default/smart-tv-led-43p-uhd-samsung.jpg,https://electroclub.ma/12349-large_default/smart-tv-led-43p-uhd-samsung.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,43DU7000,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,43 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840x2160,Fluidite constructeur,Motion Plus,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,1,Entree rca,Oui,Interface ci,Oui,Bluetooth,Oui,Système d&#039;exploitation,Tizen™,Connectivite,Oui,Technologie,Crystal 4K,Fluidité de l&#039;image ( Hz ),50,Turner,OUI,Entrée optique RJ45,OUI,Wifi integrée,Oui,Fonction enregistreur PVR,OUI,Vidéo,HDR|HDR+|HLG|Méga contraste|PurColor|Gradation UHD,Audio,Dolby Digital Plus,Dimension avec pied ( cm ),96.4 x 62.8x 19.2,Dimension sans pied ( cm ),96.4 x 55.9 x 6,Indice de qualité ( PQI ),2000,Processeur,Crystal prcessor 4K,Poids (KG),8.3,,,,,,,,,,
simple,70DU7000,TV SAMSUNG 70P LED UHD (4k) 70DU7000,1,0,visible,,8499,,"https://electroclub.ma/12386-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12385-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12387-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12388-large_default/smart-tv-led-70p-uhd-samsung.jpg,https://electroclub.ma/12389-large_default/smart-tv-led-70p-uhd-samsung.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,70DU7000,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,70 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840x2160,Fluidite constructeur,Motion Plus,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,1,Entree rca,Oui,Interface ci,Oui,Bluetooth,Oui,Système d&#039;exploitation,Tizen™,Connectivite,Oui,Technologie,Crystal 4K,Fluidité de l&#039;image ( Hz ),50,Turner,OUI,Entrée optique RJ45,OUI,Wifi integrée,Oui,Fonction enregistreur PVR,OUI,Vidéo,HDR|HDR 10+|HLG|Mega Contrast|PurColor,Audio,Dolby Digital Plus,Dimension avec pied ( cm ),157 x 96 x 34 cm,Dimension sans pied ( cm ),157 x 87.5 x 6 cm,Indice de qualité ( PQI ),2000,Processeur,Crystal prcessor 4K,Poids (KG),24.7,,,,,,,,,,
simple,75DU7000,TV SAMSUNG 75P LED UHD (4k) 75DU7000,1,0,visible,,9599,,"https://electroclub.ma/12394-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12393-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12395-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12396-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12397-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,75CU7000,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,75 Pouces,Type du rectroeclairage,Led,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840x2160,Fluidite constructeur,Motion Plus,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,1,Entree rca,Oui,Interface ci,Oui,Bluetooth,Oui,Système d&#039;exploitation,Tizen™,Connectivite,Oui,Technologie,Crystal 4K,Fluidité de l&#039;image ( Hz ),50,Turner,OUI,Entrée optique RJ45,OUI,Wifi integrée,Oui,Fonction enregistreur PVR,OUI,Vidéo,HDR|HDR 10+|HLG|Mega Contrast|PurColor,Audio,Dolby Digital Plus,Dimension avec pied ( cm ),167.3 x 104.8 x 34.1,Dimension sans pied ( cm ),167.3 x 95.8 x 56,Indice de qualité ( PQI ),2000,Processeur,Crystal prcessor 4K,Poids (KG),30.8,,,,,,,,,,
simple,55Q80D,TV SAMSUNG 55P QLED UHD (4k) 55Q80D,1,0,visible,,8099,,"https://electroclub.ma/12765-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/12764-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/12766-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/12767-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/12768-large_default/smart-tv-led-55p-uhd-samsung.jpg",Not found,,Marque,Samsung,Reference fournisseur,55Q80D,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,55 Pouces,Type du rectroeclairage,Qled,Norme hd,Uhd (4k),Resolution de l&#039;affichage,3840×2160,Fluidite de l&#039;image,100,Fluidite constructeur,NON,Tuner,DVB- T2S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,4,Entree usb,2,Entree prise peritel,Non,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Entree optique,Oui,Wifi integre,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1230.5 x 783.3 x 250.2 mm,Dimension sans pied,1230.5 x 707.2 x 59.9 mm,Technologie éclairage,Qled,,,,,,,,,,,,,,,,
simple,UA32T5300,TV SAMSUNG 32P  LED  HD  UA32T5300,1,0,visible,,1599,,"https://electroclub.ma/6724-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/5909-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/5907-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/5906-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,Samsung,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,32 Pouces,Norme hd,Full HD,Resolution de l&#039;affichage,1920 x 1080,Dimension avec pied,73.7 x 46.5 x 15.1 cm,Dimension sans pied,73.7 x 43.8 x 7.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,40T5300,TV SAMSUNG 40P LED HD 40T5300,1,0,visible,,3899,2899,"https://electroclub.ma/9326-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/9325-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/9324-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/9323-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,Samsung,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,40 Pouces,Norme hd,Full HD,Resolution de l&#039;affichage,1920 x 1080,Entree hdmi,2,Entree usb,1,Dimension avec pied,917.1 x 552.4 x 170.3 mm,Dimension sans pied,917.1 x 527.7 x 77.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,55DU8000,TV SAMSUNG 55P LED UHD  (4k) 55DU8000,1,0,visible,,5799,,"https://electroclub.ma/13371-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10515-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10517-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10518-large_default/smart-tv-led-55p-uhd-samsung.jpg,https://electroclub.ma/10519-large_default/smart-tv-led-55p-uhd-samsung.jpg",Not found,,Marque,Samsung,Reference fournisseur,55DU8000,Garantie,1 An,Type d&#039;ecran,Flat,Smart tv,Oui,Taille d&#039;écran,55 Pouces,Type du rectroeclairage,Led,Norme hd,Uhd (4k),Resolution de l&#039;affichage,3840×2160,Fluidite de l&#039;image,50,Fluidite constructeur,NON,Tuner,DVB-T2|C|S2,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree prise peritel,Non,Entree rca,NON,Entree vga,Non,Interface ci,Oui,Entree optique,Oui,Wifi integre,Oui,Bluetooth,Oui,Fonction enregistreur (pvr),Oui,Coloris,Noir,Dimension avec pied,1232.1 x 748.8 x 226.6 mm,Dimension sans pied,1232.1 x 708.8 x 25.7 mm,,,,,,,,,,,,,,,,,,
simple,43T5300,TV SAMSUNG 43P LED  FHD 43T5300,1,0,visible,,3199,,"https://electroclub.ma/9390-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/9389-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/9388-large_default/smart-tv-samsung-32p-ua32t5300.jpg,https://electroclub.ma/9387-large_default/smart-tv-samsung-32p-ua32t5300.jpg",Not found,,Marque,Samsung,Reference fournisseur,43T5300,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,40 Pouces,Norme hd,Full HD,Resolution de l&#039;affichage,1920 x 1080,Entree hdmi,2,Entree usb,1,Dimension avec pied,979.9 x 596.6 x 170.3 mm,Dimension sans pied,979.9 x 571.9 x 77.3 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple,H32K702UG,SMART TV LED 32P HD H32K702UG,1,0,visible,,1799,,"https://electroclub.ma/10833-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/10828-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/10832-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/10827-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg,https://electroclub.ma/10825-large_default/smart-tv-led-50p-uhd-samsung-serie-9.jpg",Not found,,Marque,Haier,Reference fournisseur,H32K702UG,Mémoire ram,1.5 G,Garantie,2 Ans,Marque,Haier,Type d&#039;ecran,LED,Smart tv,Oui,Taille d&#039;écran,32 Pouces,Type du rectroeclairage,Led,Norme hd,HD,Resolution de l&#039;affichage,1920 x 1080,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree rca,NON,Bluetooth,Oui,Coloris,Noir,Dimension avec pied,720.2 X 466.1 X 180.8,Dimension sans pied,720.2 X 424.4 X 64.1,Technologie éclairage,LED directe,Mémoire de stockage,8G,Connectivite,Oui,Wifi integrée,Oui,Récepteur intégré,OUI,TNT,OUI,Dolby audio,OUI,Smart Remote Control,Oui,Google Assistant,OUI,Android 9,OUI,,,,,,,,,,,,
simple,75Q60D,TV SAMSUNG 75P  QLED UHD (4k) 75Q60D,1,0,visible,,13999,,"https://electroclub.ma/12427-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12428-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12429-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12430-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg,https://electroclub.ma/12431-large_default/smart-tv-led-75p-uhd-4k-samsung.jpg",4K UHD,,Marque,Samsung,Reference fournisseur,75Q60D,Garantie,1 An,Smart tv,Oui,Taille d&#039;écran,75 Pouces,Type du rectroeclairage,Qled,Norme hd,Ultra HD|4K,Resolution de l&#039;affichage,3840x2160,Fluidite constructeur,Motion Plus,Direct wi-fi,Oui,Puissance sonore,20,Entree hdmi,3,Entree usb,2,Entree rca,Oui,Interface ci,Oui,Bluetooth,Oui,Système d&#039;exploitation,Tizen™,Connectivite,Oui,Technologie,Crystal 4K,Fluidité de l&#039;image ( Hz ),50,Turner,OUI,Entrée optique RJ45,OUI,Wifi integrée,Oui,Fonction enregistreur PVR,OUI,Vidéo,HDR|HDR 10+|HLG|Mega Contrast|PurColor,Audio,Dolby Digital Plus,Dimension avec pied ( cm ),167 x 102 x 31.7,Dimension sans pied ( cm ),167 x 95.8 x 2.8,Indice de qualité ( PQI ),2000,Processeur,Crystal prcessor 4K,Poids (KG),20.9,,,,,,,,,,
